순위,시도,시군구,등재축제수,대표축제,대표축제URL,공문본문문단,전체등재목록,담당부서,담당자,연락처,이메일,발송상태,발송일,비고
1,"서울특별시","종로구",5,"서울썸머비치","chukjero.com/festival/3509884","귀 구에서 개최하는 「서울썸머비치」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/3509884","서울썸머비치(예정) chukjero.com/festival/3509884 ; 서울국제작가축제(예정) chukjero.com/festival/1018469 ; 문학주간2026(예정) chukjero.com/festival/2556687 ; 국악공연 진연(진행중) chukjero.com/festival/4060434 ; 남산봉수의식 등 전통문화행사(진행중) chukjero.com/festival/2809535",,,,,"미발송",,
2,"강원특별자치도","강릉시",5,"명주인형극제","chukjero.com/festival/2543724","귀 시에서 개최하는 「명주인형극제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2543724","명주인형극제(예정) chukjero.com/festival/2543724 ; 강릉 국가유산 야행(예정) chukjero.com/festival/2541883 ; 강릉커피축제(예정) chukjero.com/festival/825295 ; 강릉비치비어페스티벌(종료) chukjero.com/festival/2607445 ; 강릉단오제(종료) chukjero.com/festival/531391",,,,,"미발송",,
3,"부산광역시","해운대구",4,"세계유산위원회 대한민국관(K-Heritage House)","chukjero.com/festival/4055637","귀 구에서 개최하는 「세계유산위원회 대한민국관(K-Heritage House)」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/4055637","세계유산위원회 대한민국관(K-Heritage House)(예정) chukjero.com/festival/4055637 ; 부산인디커넥트페스티벌 2026(예정) chukjero.com/festival/2736033 ; 부산국제매직페스티벌(종료) chukjero.com/festival/1032770 ; 국제해양영화제 (KIOFF)(종료) chukjero.com/festival/2661307",,,,,"미발송",,
4,"강원특별자치도","영월군",2,"동강뗏목축제","chukjero.com/festival/581063","귀 군에서 개최하는 「동강뗏목축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/581063","동강뗏목축제(예정) chukjero.com/festival/581063 ; 단종문화제(종료) chukjero.com/festival/292835",,,,,"미발송",,
5,"강원특별자치도","삼척시",1,"삼척 비치 썸 페스티벌","chukjero.com/festival/2609985","귀 시에서 개최하는 「삼척 비치 썸 페스티벌」이 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2609985","삼척 비치 썸 페스티벌(예정) chukjero.com/festival/2609985",,,,,"미발송",,
6,"강원특별자치도","속초시",1,"속초 썸머페스티벌","chukjero.com/festival/2611034","귀 시에서 개최하는 「속초 썸머페스티벌」이 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2611034","속초 썸머페스티벌(예정) chukjero.com/festival/2611034",,,,,"미발송",,
7,"경기도","고양시",3,"고양호수예술축제","chukjero.com/festival/1100492","귀 시에서 개최하는 「고양호수예술축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/1100492","고양호수예술축제(예정) chukjero.com/festival/1100492 ; 고양행주한우 숯불구이축제(예정) chukjero.com/festival/3383613 ; 고양행주문화제(종료) chukjero.com/festival/530450",,,,,"미발송",,
8,"경기도","과천시",2,"과천공연예술축제","chukjero.com/festival/2029491","귀 시에서 개최하는 「과천공연예술축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2029491","과천공연예술축제(예정) chukjero.com/festival/2029491 ; 과천재즈피크닉(종료) chukjero.com/festival/4061420",,,,,"미발송",,
9,"경기도","부천시",1,"부천국제만화축제","chukjero.com/festival/589386","귀 시에서 개최하는 「부천국제만화축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/589386","부천국제만화축제(예정) chukjero.com/festival/589386",,,,,"미발송",,
10,"경기도","화성시",1,"생생우리음악축제","chukjero.com/festival/2853756","귀 시에서 개최하는 「생생우리음악축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2853756","생생우리음악축제(예정) chukjero.com/festival/2853756",,,,,"미발송",,
