순위,시도,시군구,축제수,대표축제1,대표축제2
1,"서울","종로구",3,"서울썸머비치","서울국제작가축제"
2,"강원","강릉시",2,"명주인형극제","강릉 국가유산 야행"
3,"부산","해운대구",2,"세계유산위원회 대한민국관(K-Heritage House)","부산인디커넥트페스티벌 2026"
4,"강원","영월군",1,"동강뗏목축제",""
5,"강원","삼척시",1,"삼척 비치 썸 페스티벌",""
6,"강원","속초시",1,"속초 썸머페스티벌",""
7,"경기","고양시",1,"고양호수예술축제",""
8,"경기","과천시",1,"과천공연예술축제",""
9,"경기","부천시",1,"부천국제만화축제",""
10,"경기","화성시",1,"생생우리음악축제",""
11,"경남","거제시",1,"거제여름해양축제",""
12,"경남","고성군",1,"경남고성공룡세계엑스포",""
13,"경남","밀양시",1,"밀양 수퍼 페스티벌",""
14,"경북","김천시",1,"김천포도축제",""
15,"경북","봉화군",1,"봉화은어축제",""
16,"경북","안동시",1,"세계유산축전",""
17,"대구","동구",1,"대구 동구 여름축제 두두썸동",""
18,"대구","수성구",1,"수성못페스티벌",""
19,"대전","중구",1,"대전 중구 북페스티벌",""
20,"부산","수영구",1,"대한민국 청년의 날 축제",""
21,"부산","사하구",1,"부산바다축제",""
22,"서울","중구",1,"서울어텀페스타",""
23,"서울","강남구",1,"서울일러스트레이션페어V.21",""
24,"서울","마포구",1,"서울프린지페스티벌2026",""
25,"인천","계양구",1,"계양아라온워터축제",""
26,"인천","강화군",1,"국가유산 미디어아트",""
27,"전북","전주시",1,"독립출판 북페어 전주책쾌",""
28,"전북","무주군",1,"무주반딧불축제",""
29,"제주","서귀포시",1,"귀몽 제주신화월드",""
30,"충남","보령시",1,"보령머드축제",""
