순위,시도,시군구,축제수,대표축제1,대표축제2
1,"광주","동구",2,"광주 추억의 충장축제","광주버스킹월드컵"
2,"강원","강릉시",1,"강릉커피축제",""
3,"경기","고양시",1,"고양행주한우 숯불구이축제",""
4,"경남","김해시",1,"김해 국가유산 야행",""
5,"경남","사천시",1,"사천에어쇼",""
6,"경남","산청군",1,"산청한방약초축제",""
7,"경북","영주시",1,"경북영주 풍기인삼축제",""
8,"경북","구미시",1,"구미푸드페스티벌",""
9,"경북","김천시",1,"김천김밥축제",""
10,"광주","서구",1,"광주김치축제",""
11,"광주","목포시",1,"목포항구축제",""
12,"부산","동래구",1,"동래읍성역사축제",""
13,"부산","사상구",1,"부산국제록페스티벌",""
14,"서울","강동구",1,"강동선사문화축제",""
15,"서울","관악구",1,"관악강감찬축제",""
16,"세종","다솜로",1,"세종한글축제",""
17,"울산","중구",1,"성남동 커피페스티벌",""
18,"인천","부평구",1,"부평풍물대축제",""
19,"인천","남동구",1,"소래포구축제",""
20,"전북","고창군",1,"고창모양성제",""
21,"전북","군산시",1,"군산시간여행축제",""
22,"전북","김제시",1,"김제지평선축제",""
23,"제주","서귀포시",1,"서귀포칠십리축제",""
24,"충남","계룡시",1,"계룡軍문화축제",""
25,"충남","금산군",1,"금산세계인삼축제",""
26,"충남","서산시",1,"서산해미읍성축제",""
27,"충북","청주시",1,"세종대왕과 초정약수축제",""
